Ramo,origin,development,Pagados,Pendientes,Incurridos,Cantidad
Daño parcial,2005-01-01,6.0,1115930.4481066982,-4418596.503259337,-3302666.055152669,216.7781281531221
Daño parcial,2005-01-01,7.0,4323529.735469795,-4001842.3042664747,321687.4312033905,92.13972766685492
Daño parcial,2005-01-01,8.0,874130.9656323761,-4428.845352434581,869702.1202798726,74.00032335432384
Daño parcial,2005-01-01,9.0,277393.4260052713,2184172.02902247,2461565.4550277297,24.82530487054198
Daño parcial,2005-01-01,10.0,168060.8597445886,-1984616.0273068151,-1816555.1675622088,25.340076340185192
Daño parcial,2005-01-01,11.0,891343.5958981928,106508.00157069083,997851.5974689105,11.926685127517022
Daño parcial,2005-01-01,12.0,191764.98984613293,-225183.15588580922,-33418.166039674084,3.1694733225772476
Daño parcial,2005-01-01,13.0,4182966.496040986,-194286.28901680195,3988680.2070241855,7.606357101064898
Daño parcial,2005-01-01,14.0,16638.638130697378,312582.2260494459,329220.864180137,3.396167187296457
Daño parcial,2005-01-01,15.0,6276.619389510882,155213.19890497165,161489.8182944784,2.221812173278188
Daño parcial,2006-01-01,1.0,2359340084.021118,369392669.82782876,2728732753.8489437,3556311.28106933
Daño parcial,2006-01-01,2.0,507652037.9968139,-267126492.04605335,240525545.95076355,184453.41118695206
Daño parcial,2006-01-01,3.0,24229971.730841298,-13513686.807425683,10716284.923415504,2891.086954459482
Daño parcial,2006-01-01,4.0,6446103.993540562,-274230.98633951566,6171873.007201091,764.6957414001402
Daño parcial,2006-01-01,5.0,2173088.8583706054,-6010327.32701358,-3837238.4686429966,282.7540801997245
Daño parcial,2006-01-01,6.0,693317.7778107007,4563442.23697144,5256760.014782156,301.5481996369798
Daño parcial,2006-01-01,7.0,1539743.7461164652,-137104.02509439833,1402639.7210219945,111.00048503148575
Daño parcial,2006-01-01,8.0,928549.3186766264,-410565.422567162,517983.89610953094,37.23795730581297
Daño parcial,2006-01-01,9.0,1753290.8288903744,-3657653.618104173,-1904362.7892137938,60.816183216444465
Daño parcial,2006-01-01,10.0,274230.86747127894,379090.4818904692,653321.3493617019,3.9755617091723403
Daño parcial,2006-01-01,11.0,3708125.662391362,6219078.019852421,9927203.682243817,31.694733225772474
Daño parcial,2006-01-01,12.0,4053.1741539056693,-2945015.7016565725,-2940962.527502679,5.070904734043265
Daño parcial,2006-01-01,13.0,,524967.9938246855,524967.9938246997,1.6980835936482286
Daño parcial,2006-01-01,14.0,955543.9263369652,-134136.4331946633,821407.4931422765,6.665436519834564
Daño parcial,2007-01-01,1.0,2585290544.714572,449697452.3404521,3034987997.0550256,3691784.2138009034
Daño parcial,2007-01-01,2.0,694292758.672522,-359432056.72217125,334860701.9503494,106548.6004674755
Daño parcial,2007-01-01,3.0,26251630.532168027,-1505433.1344077347,24746197.397760306,4448.159735186731
Daño parcial,2007-01-01,4.0,6020022.116161264,-22386224.98209596,-16366202.865934609,631.4841124460514
Daño parcial,2007-01-01,5.0,5690981.716027748,-4074475.213952368,1616506.5020752999,494.2039938494946
Daño parcial,2007-01-01,6.0,2689894.1418527486,817275.0371927307,3507169.179045508,118.40051736691814
Daño parcial,2007-01-01,7.0,3740115.327433773,26792596.20925656,30532711.536690354,93.09489326453243
Daño parcial,2007-01-01,8.0,6574615.183019874,-7521217.909140299,-946602.7261205008,86.15625955662966
Daño parcial,2007-01-01,9.0,381515.05771001487,3019364.3775562644,3400879.4352663457,39.7556170917234
Daño parcial,2007-01-01,10.0,355917.30624286295,1461312.489118543,1817229.7953614383,9.508419967731744
Daño parcial,2007-01-01,11.0,1691556.3818423504,1931401.986251474,3622958.3680937532,17.748166569151426
Daño parcial,2007-01-01,12.0,665640.6179088359,-812027.683844881,-146387.06593607203,3.396167187296457
Daño parcial,2007-01-01,13.0,91407.29689431629,1479885.8891733317,1571293.1860676643,4.443624346556376
Daño parcial,2008-01-01,1.0,3557314852.6054773,659839886.3651148,4217154738.9705915,3859480.6222469728
Daño parcial,2008-01-01,2.0,912636023.8595611,-459814325.79566807,452821698.06389356,134446.43577321057
Daño parcial,2008-01-01,3.0,40855298.123632304,-46993340.37909893,-6138042.255466733,4542.915555208907
Daño parcial,2008-01-01,4.0,6761630.860450432,-3671121.9967430453,3090508.863707254,1264.827170699554
Daño parcial,2008-01-01,5.0,5847916.4012537915,-1556183.1399506554,4291733.261303405,266.4011640755658
Daño parcial,2008-01-01,6.0,4863484.391308289,-2712064.076685234,2151420.3146230266,155.15815544088738
Daño parcial,2008-01-01,7.0,2484502.14591683,1547647.4430836681,4032149.5890004504,131.768396968963
Daño parcial,2008-01-01,8.0,6738961.891665033,496480.3909715101,7235442.282636473,51.68230221924043
Daño parcial,2008-01-01,9.0,1364426.7608046862,-51990.487341628395,1312436.2734630874,38.033679870926974
Daño parcial,2008-01-01,10.0,1320410.4243086572,245346.92753697047,1565757.3518457056,15.212714202129796
Daño parcial,2008-01-01,11.0,951997.2333979441,-333728.39311780507,618268.8402801327,10.188501561889371
Daño parcial,2008-01-01,12.0,85272.84015674438,-443724.01914576715,-358451.1789890155,8.887248693112753
Daño parcial,2009-01-01,1.0,5147901275.751546,1519739513.185202,6667640788.9367485,4855570.239552126
Daño parcial,2009-01-01,2.0,2098363069.248092,-1063368366.2129539,1034994703.0351374,201499.98268633033
Daño parcial,2009-01-01,3.0,59240119.91345398,-155605607.515698,-96365487.60224424,4322.190861463377
Daño parcial,2009-01-01,4.0,23538752.56973203,-12544029.91081874,10994722.65891344,1132.2049473211546
Daño parcial,2009-01-01,5.0,9097602.308283262,4904719.967457446,14002322.275740696,229.63407005251332
Daño parcial,2009-01-01,6.0,7101678.938945816,4185756.8239618754,11287435.762907673,238.19671759774081
Daño parcial,2009-01-01,7.0,3874349.195554056,4784689.178211404,8659038.373765178,43.73117880089574
Daño parcial,2009-01-01,8.0,1966690.0181712199,5863457.97851246,7830147.996683993,69.72841309669944
Daño parcial,2009-01-01,9.0,2258881.343584864,-1174462.1543513387,1084419.18923327,17.748166569151426
Daño parcial,2009-01-01,10.0,1031029.5928411001,-3423238.3246206082,-2392208.731779435,3.396167187296457
Daño parcial,2009-01-01,11.0,887175.088666112,13738149.585417684,14625324.674083764,9.998154779751847
Daño parcial,2010-01-01,1.0,6135987827.939287,1182667253.305512,7318655081.244796,5006933.851088668
Daño parcial,2010-01-01,2.0,1806714063.5621939,-936163484.6364397,870550578.9257578,159049.92263074924
Daño parcial,2010-01-01,3.0,72254949.80368042,-52906677.924815044,19348271.878865063,3574.2156180138413
Daño parcial,2010-01-01,4.0,31622467.510149375,18420696.21212193,50043163.72227169,763.3781247691659
Daño parcial,2010-01-01,5.0,9446508.966042865,18517056.34185444,27963565.307897113,243.26473286577786
Daño parcial,2010-01-01,6.0,6508981.61013174,24416664.969735906,30925646.579867814,87.46235760179148
Daño parcial,2010-01-01,7.0,3552426.299651006,12232683.648243768,15785109.947894432,88.74525303216294
Daño parcial,2010-01-01,8.0,7987569.210168112,-142134.6706976441,7845434.539470543,48.173594973411014
Daño parcial,2010-01-01,9.0,5036882.8946252735,-2402582.4093573587,2634300.4852679404,18.678919530130514
Daño parcial,2010-01-01,10.0,175522.2729641605,9701299.332895959,9876821.605860075,11.10906086639094
Daño parcial,2011-01-01,1.0,9002230465.104712,2145992510.6097846,11148222975.71451,5481794.463167382
Daño parcial,2011-01-01,2.0,2782156705.7503405,-1639308252.4049633,1142848453.345365,177045.77362521976
Daño parcial,2011-01-01,3.0,114019699.23584051,5899428.475360735,119919127.71120101,4226.508154209772
Daño parcial,2011-01-01,4.0,22282049.154970963,16728215.514425205,39010264.669396505,760.2022902055558
Daño parcial,2011-01-01,5.0,15612955.825862957,7298053.4835054455,22911009.309368815,286.2404430604085
Daño parcial,2011-01-01,6.0,16247357.569226433,11863611.506364966,28110969.07559114,148.96524616113064
Daño parcial,2011-01-01,7.0,14440861.321142504,-755729.7872579694,13685131.533884704,53.24449970745428
Daño parcial,2011-01-01,8.0,1224326.2859749834,-5939573.995449569,-4715247.709474789,18.678919530130514
Daño parcial,2011-01-01,9.0,12740650.002252286,21885932.995788377,34626582.99804071,14.441779126308223
Daño parcial,2012-01-01,1.0,13737241247.45149,4074790951.272799,17812032198.724297,5696012.089487698
Daño parcial,2012-01-01,2.0,4741958937.6527815,-2871878600.302234,1870080337.3505409,224619.35846866385
Daño parcial,2012-01-01,3.0,166000774.0267685,312098928.1645384,478099702.1913075,3861.8276342442236
Daño parcial,2012-01-01,4.0,38662638.41269932,89428423.26247695,128091061.67517568,608.260941503368
Daño parcial,2012-01-01,5.0,32694864.684721597,-11132769.59405847,21562095.090662464,237.71049919329357
Daño parcial,2012-01-01,6.0,31551377.314438287,-12992023.946522962,18559353.3679154,96.34718994682203
Daño parcial,2012-01-01,7.0,9460816.280731617,21841724.590942856,31302540.871674776,27.169337498371657
Daño parcial,2012-01-01,8.0,17967884.673203588,37485018.67858024,55452903.35178399,21.107215646142787
Daño parcial,2014-01-01,1.0,20522899223.37897,5682551191.910441,26205450415.289394,4876586.195332744
Daño parcial,2014-01-01,2.0,5291688912.621376,-3665842292.5918574,1625846620.0295339,123842.72280242757
Daño parcial,2014-01-01,3.0,162230453.06381813,-95164567.79049397,67065885.2733253,3578.3353811897123
Daño parcial,2014-01-01,4.0,62461039.165077604,80332624.58296096,142793663.74803925,687.1075914628624
Daño parcial,2014-01-01,5.0,24600000.29149015,-54606425.55746924,-30006425.26597899,108.67734999348663
Daño parcial,2014-01-01,6.0,24934998.527763672,82734384.73298258,107669383.26074558,48.87986781212014
Daño parcial,2015-01-01,1.0,23047824823.54798,6981645748.163439,30029470571.71137,4014927.721216565
Daño parcial,2015-01-01,2.0,6425594456.237374,-4637632531.769974,1787961924.46744,127986.50223899183
Daño parcial,2015-01-01,3.0,182863892.0548821,-77457152.99293453,105406739.06194812,1982.7237510109167
Daño parcial,2015-01-01,4.0,61226886.92379841,-13392824.732604723,47834062.191193335,266.59912420277186
Daño parcial,2015-01-01,5.0,59827332.55761274,86370684.77614716,146198017.33376008,67.76527128498473
Daño parcial,2016-01-01,1.0,25267710581.560295,8763831479.880692,34031542061.441,3526850.456537768
Daño parcial,2016-01-01,2.0,6931787475.4079075,-5613976415.577788,1317811059.8301084,162487.00039294834
Daño parcial,2016-01-01,3.0,209947821.55242532,-208171715.21191436,1776106.3405110543,1241.299106956855
Daño parcial,2016-01-01,4.0,65394975.02645813,19470608.53637911,84865583.56283744,707.6471771891029
Daño parcial,2017-01-01,1.0,29039717461.919735,16260497572.914898,45300215034.83475,3347933.0071289805
Daño parcial,2017-01-01,2.0,8355508188.743946,-9070068128.417503,-714559939.6736387,86564.9054369994
Daño parcial,2017-01-01,3.0,231244323.84307915,-357390072.27830505,-126145748.43522511,1677.468190825032
Daño parcial,2018-01-01,1.0,29796550076.31775,12663370399.964453,42459920476.28216,2161816.638404811
Daño parcial,2018-01-01,2.0,6654724120.506325,-7039449095.539914,-384724975.0335624,45991.511986858495
Daño parcial,2019-01-01,1.0,23752127287.26418,8747823957.628653,32499951244.892788,1141943.6917937037
Daño total,1998-01-01,1.0,646818039.7355409,411495056.8499458,1058313096.5854867,176287.0948821745
Daño total,1998-01-01,2.0,344934856.6978531,-237984244.9804099,106950611.7174432,22230.76974764964
Daño total,1998-01-01,3.0,40347397.275725305,-92041497.84268937,-51694100.56696399,1453.3671894471079
Daño total,1998-01-01,4.0,12079175.245014586,-8821699.883177754,3257475.3618367193,721.7072436527454
Daño total,1998-01-01,5.0,2836798.1403173874,8068389.689229192,10905187.829546602,38.968915721180124
Daño total,1998-01-01,6.0,3403882.601921477,-764291.7109981129,2639590.8909233506,96.28110191699037
Daño total,1998-01-01,7.0,2153161.7996023567,3070387.962674088,5223549.762276445,53.89119501070529
Daño total,1998-01-01,8.0,5281714.023146394,-4623942.510177218,657771.512969193,31.73059150927273
Daño total,1998-01-01,9.0,892316.3356823368,1222569.9970649937,2114886.332747299,14.95228503165659
Daño total,1998-01-01,10.0,803702.00422844,-581662.6693289464,222039.33489951785,12.995167760106527
Daño total,1998-01-01,11.0,5983403.438829775,-9785663.668074084,-3802260.2292443323,48.1847825743247
Daño total,1998-01-01,12.0,168394.61854635482,-175517.7055256842,-7123.086979323111,10.770362554931552
Daño total,1998-01-01,13.0,130803.92252758687,-144986.67868769285,-14182.756160109284,
Daño total,1998-01-01,14.0,546699.2634734634,-180568.82097378714,366130.4424996928,8.376338878804994
Daño total,1998-01-01,15.0,344268.44832708326,53448.13954880457,397716.5878758973,
Daño total,1998-01-01,16.0,155648.4552120806,10025880.782883722,10181529.238095803,235.84039627014883
Daño total,1998-01-01,17.0,122721.98971551689,-116937.35708858226,5784.632626929924,5.068015268037039
Daño total,1998-01-01,18.0,85082.98391885184,296888.58754225535,381971.5714611016,3.9755617091723403
Daño total,1998-01-01,19.0,6395727.949896862,-4876816.241750321,1518911.7081465384,
Daño total,1998-01-01,20.0,40174.242755457766,19130.038818225603,59304.28157368219,
Daño total,1998-01-01,21.0,2458434.569280277,346530.16042613774,2804964.729706415,
Daño total,1998-01-01,22.0,,119312.4579383077,119312.45793830926,
Daño total,1999-01-01,1.0,771045803.9369514,323496164.78111964,1094541968.7180707,207637.02405847027
Daño total,1999-01-01,2.0,319976499.2656892,-275683994.485184,44292504.78050548,13362.903880749798
Daño total,1999-01-01,3.0,36661597.30287778,-15312830.258326087,21348767.04455161,1082.5608654791183
Daño total,1999-01-01,4.0,5370563.665224189,2850432.194860736,8220995.860084986,155.8756628847205
Daño total,1999-01-01,5.0,8145398.360213538,-1425448.2609959743,6719950.099217568,38.512440766796146
Daño total,1999-01-01,6.0,2286543.4054404492,-1099459.2390004161,1187084.1664400185,17.963731670235095
Daño total,1999-01-01,7.0,1910797.816945326,25323.391818763204,1936121.2087640653,15.865295754636366
Daño total,1999-01-01,8.0,505065.75994181214,-532022.038442586,-26956.27850077559,14.95228503165659
Daño total,1999-01-01,9.0,63792.368872615865,-672230.6717095207,-608438.3028368746,77.97100656063917
